case,measure,sc,ps
Bila Nisa,Access_Stream,3,5
Bila Nisa,Integrate_Programmes,1,4
Bila Nisa,Unseal_Surfaces,4,2
Bila Nisa,Increase_Space,4,5
Geberbach,Nature_Observation,1,5
Geberbach,Unseal_Surfaces,2,2
Geberbach,Riparian_Trees,4,5
Geberbach,Access_Stream,3,4
Piasnica,Riparian_Trees,2,5
Piasnica,Unseal_Surfaces,1,1
Piasnica,Increase_Space,4,5
Piasnica,Service_Buffer,2,3
Teplica,Integrate_Programmes,1,4
Teplica,Unseal_Surfaces,4,1
Teplica,Riparian_Trees,5,5
Teplica,Green_Network,3,2
Bila Nisa,Riparian_Trees,2,4
Bila Nisa,Remove_TechRiverbed,1,5
Bila Nisa,Green_Corridor,3,5
Bila Nisa,Service_Buffer,2,3
Geberbach,Green_Corridor,3,5
Geberbach,Increase_Space,2,5
Geberbach,Instream_Structures,4,4
Geberbach,Groyne_Baffles_DeadWood,5,3
Piasnica,Remove_Concrete_Channel,1,5
Piasnica,Access_Stream,1,4
Piasnica,Green_Network,2,3
Piasnica,Remove_BiologicalBarriers,1,3
Teplica,Access_Stream,2,3
Teplica,Remove_Concrete_Channel,3,5
Teplica,Remove_BiologicalBarriers,5,4
Teplica,Remove_TechRiverbed,5,4
