"Variable TUDELFT","category","BilaNisa","Geberbach","Piasnica","Teplica"
"bench_count_50m","class: very high","0%","0%","20%","0%"
"bench_count_50m","class: high","0%","0%","0%","0%"
"bench_count_50m","class: medium","5%","0%","0%","0%"
"bench_count_50m","class: low","11%","7%","20%","13%"
"bench_count_50m","class: very low","84%","93%","60%","87%"
"bench_count_50m","mean class","very low","very low","low","very low"
"bench_count_50m","mean value","1.1","0.7","4.6","0.7"
"canopy_cover_10m","class: very high","11%","55%","20%","80%"
"canopy_cover_10m","class: high","16%","14%","0%","7%"
"canopy_cover_10m","class: medium","11%","10%","0%","13%"
"canopy_cover_10m","class: low","11%","10%","40%","0%"
"canopy_cover_10m","class: very low","53%","10%","40%","0%"
"canopy_cover_10m","mean class","low","high","low","very high"
"canopy_cover_10m","mean value","0.3","0.7","0.3","0.9"
"impervious_cover_50m","class: very high","5%","14%","60%","0%"
"impervious_cover_50m","class: high","11%","59%","40%","0%"
"impervious_cover_50m","class: medium","16%","28%","0%","7%"
"impervious_cover_50m","class: low","16%","0%","0%","53%"
"impervious_cover_50m","class: very low","53%","0%","0%","40%"
"impervious_cover_50m","mean class","low","high","very high","low"
"impervious_cover_50m","mean value","14.3","33.2","40.5","11.6"
"poi_total_50m","class: very high","0%","0%","0%","0%"
"poi_total_50m","class: high","0%","10%","0%","0%"
"poi_total_50m","class: medium","0%","7%","0%","13%"
"poi_total_50m","class: low","32%","10%","60%","47%"
"poi_total_50m","class: very low","68%","72%","40%","40%"
"poi_total_50m","mean class","very low","very low","very low","very low"
"poi_total_50m","mean value","0.3","0.6","0.6","0.7"
"slowmobility_length_m_50m","class: very high","0%","0%","20%","7%"
"slowmobility_length_m_50m","class: high","0%","28%","40%","33%"
"slowmobility_length_m_50m","class: medium","11%","48%","0%","33%"
"slowmobility_length_m_50m","class: low","74%","7%","40%","27%"
"slowmobility_length_m_50m","class: very low","16%","17%","0%","0%"
"slowmobility_length_m_50m","mean class","low","medium","high","medium"
"slowmobility_length_m_50m","mean value","241.1","357.0","480.1","414.9"
"slowmobility_network_intersection_50m","class: very high","0%","3%","20%","0%"
"slowmobility_network_intersection_50m","class: high","0%","3%","0%","13%"
"slowmobility_network_intersection_50m","class: medium","11%","14%","20%","20%"
"slowmobility_network_intersection_50m","class: low","5%","31%","20%","47%"
"slowmobility_network_intersection_50m","class: very low","84%","48%","40%","20%"
"slowmobility_network_intersection_50m","mean class","very low","low","low","low"
"slowmobility_network_intersection_50m","mean value","2.3","4.1","6.0","5.5"
"building_distance_mean_m","class: very high","47%","0%","20%","7%"
"building_distance_mean_m","class: high","21%","3%","20%","20%"
"building_distance_mean_m","class: medium","21%","10%","40%","20%"
"building_distance_mean_m","class: low","5%","34%","20%","47%"
"building_distance_mean_m","class: very low","5%","52%","0%","7%"
"building_distance_mean_m","mean class","high","low","high","medium"
"building_distance_mean_m","mean value","86.1","32.9","74.1","55.6"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
