"Measure_card","Short name","Variable TUDELFT","Variable IOER","Variable IEEP","spatial mapping included","BilaNisa_spatial","BilaNisa_public","synergy/conflict","Geberbach_spatial","Geberbach_public","synergy/conflict","Piasnica_spatial","Piasnica_public","synergy/conflict","Teplica_spatial","Teplica_public","synergy/conflict","notes"
"provide access into the stream","Access_Stream","","Accessibility to the water","Access to water (avarege of varaiables a5+a6)","yes","medium","very high","Accessibility to the water is medium, but public perception is very high","medium","high","","very low","high","","low","medium","",""
"integrate programme eg leisure, education, swimming etc.","Integrate_Programmes","poi_50m (number of point of interest that include leisure, education, sports.. in the 50m buffer of the section)","","education, inspiration, cosial contacts and recreational opportunities (avarege of c2+c3+c5)","yes","very low","high","","very low","high","","very low","medium","","very low","high","",""
"enable nature observation","Nature_Observation","bench_count_50m
(number of bench in the 50m buffer of the section; bench number as a proxy of nature observation intervention)","","observing nature ( variable e5 in Miro)","yes","very low","high","nature observation spaces (benches) are very few, but  highly needed-> more benches to add ","very low","very high","nature observation spaces (benches) are very few, but  highly needed-> more benches to add urgently","low","very high","nature observation spaces (benches) are few (overall more than other 3 cities, one section to be quite high), but  highly needed-> more benches to be considered","very low","high","nature observation spaces (benches) are very few, but  highly needed-> more benches to add",""
"Remove wastewater inflow and stormwater run-off","'--'",""," ","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"Add in-stream structures (dead wood, stones)","Instream_Structures","","River Bed","isle, water terraces, stones, dead wood in tn stream (avarage of b2+b6+b8+b13)","","low","high","","high","high","","very low","high","","medium","medium","",""
"Remove concrete channel, Installation of fascines where necessary","Remove_Concrete_Channel","","mean of bed and bank structure","concrete stream (a1) - the value was inversed","","very low","very high","","high","very high","","very low","very high","","medium","very high","",""
"public space facilities","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"Ensure continuous service buffer","Service_Buffer","","mean of strem bank structure and stream evironmental structure","arrangement of the greenery in the wider area and riparian vegetation (avarage of a8+a9+a10+a11)","","low","medium","","low","medium","","low","medium","","low","medium","",""
"Add groynes, baffles, dead wood and circulation trees","Groynes_Baffles_DeadWood","","special bed structures","dead wood (b13)","partly yes, no value of bilanisa and piasnica from the data we have","very low","medium","","very high","medium","","very low","medium","","medium","low","",""
"Unseal impervious surfaces","'--'","impervious_cover_50m (impervious cover in the 50m buffer of the section)","","urban park (a12) - as proxy variable; the value was inversed","yes","low","low","","high","low","","very high","very low","","low","very low","",""
"Unseal impervious surfaces","Unseal_Surfaces","impervious_cover_50m_performance (the inversed), high means the performance is good (low value of impervious cover), so less needed to unseal","","urban park (a12) - as proxy variable; the value was inversed","","high","low","","very low","low","","very low","very low","","high","very low","",""
"Install monitoring station","'--'","","","NO DATA IN THE SURVEY","","","N.A.","","","N.A.","","","N.A.","","","N.A.","",""
"provide accessibility towards","","slowmobility_network_intersection_50m (the intersection number between stream and slow mobility road network--cycle and pedestrain--in the 50m buffer of the section)","","NO DATA IN THE SURVEY","","medium","N.A.","","medium","N.A.","","high","N.A.","","high","N.A.","",""
