variable,label,definition,direction,source
bench_count_50m,Bench count within 50 m,"Benches in the 50 m buffer; proxy for nature observation infrastructure.",higher is stronger,TU Delft 50 m spatial analysis
canopy_cover_10m,Riparian canopy cover within 10 m,Tree canopy in the 10 m riparian buffer.,higher is stronger,TU Delft 50 m spatial analysis
impervious_cover_50m,Impervious cover within 50 m,Impervious cover in the 50 m buffer.,"higher means more sealed; Unseal uses inverse score",TU Delft 50 m spatial analysis
poi_total_50m,Programme POIs within 50 m,"Leisure, education and sport POIs in the 50 m buffer.",higher is stronger,TU Delft 50 m spatial analysis
slowmobility_length_m_50m,Slow mobility length within 50 m,Pedestrian/cycling network length in the 50 m buffer.,higher is stronger,TU Delft 50 m spatial analysis
slowmobility_network_intersection_50m,Slow mobility intersections within 50 m,Stream intersections with slow mobility network.,higher is stronger,TU Delft 50 m spatial analysis
building_distance_mean_m,Distance from stream to building,Mean distance from stream to closest building.,higher means more space,TU Delft 50 m spatial analysis
Continuouness.for.fish...mzb,Continuity for fish/MZB,Continuity for fish and macrozoobenthos.,categorical,IOER structural mapping
Special.bed.structures.Bonus,Special bed structures,Presence of special bed structures.,categorical,IOER structural mapping
Passability,Passability of the area,Passability of the stream area.,categorical,IOER structural mapping
Accessibility,Accessibility to the water,Accessibility to the water.,categorical,IOER structural mapping
